iter	Passed	Remaining
860	36580	5905
861	36606	5860
862	36643	5817
863	36668	5771
864	36693	5726
865	36715	5681
866	36748	5637
867	36785	5594
868	36821	5550
869	36850	5506
870	36881	5462
871	36912	5418
872	36978	5379
873	37005	5334
874	37028	5289
875	37057	5245
876	37082	5200
877	37107	5156
878	37134	5111
879	37158	5067
880	37188	5023
881	37227	4980
882	37259	4936
883	37283	4892
884	37312	4848
885	37355	4806
886	37402	4764
887	37443	4722
888	37470	4678
889	37495	4634
890	37524	4590
891	37564	4548
892	37600	4505
893	37638	4462
894	37665	4418
895	37692	4375
896	37722	4331
897	37764	4289
898	37804	4247
899	37841	4204
900	37878	4162
901	37909	4118
902	37940	4075
903	37972	4032
904	38002	3989
905	38024	3945
906	38046	3901
907	38072	3857
908	38103	3814
909	38163	3774
910	38197	3731
911	38229	3688
912	38262	3646
913	38296	3603
914	38320	3559
915	38344	3516
916	38394	3475
917	38420	3431
918	38457	3389
919	38499	3347
920	38531	3305
921	38573	3263
922	38600	3220
923	38631	3177
924	38658	3134
925	38679	3090
926	38702	3047
927	38728	3004
928	38758	2962
929	38792	2919
930	38813	2876
931	38851	2834
932	38907	2794
933	38971	2753
934	39014	2712
935	39046	2669
936	39069	2626
937	39095	2584
938	39119	2541
939	39155	2499
940	39186	2456
941	39211	2414
942	39238	2371
943	39261	2329
944	39287	2286
945	39312	2244
946	39338	2201
947	39375	2159
948	39404	2117
949	39430	2075
950	39456	2032
951	39486	1990
952	39511	1948
953	39581	1908
954	39606	1866
955	39632	1824
956	39660	1782
957	39688	1740
958	39723	1698
959	39756	1656
960	39803	1615
961	39834	1573
962	39858	1531
963	39883	1489
964	39904	1447
965	39925	1405
966	39949	1363
967	39979	1321
968	40004	1279
969	40031	1238
970	40058	1196
971	40091	1154
972	40125	1113
973	40167	1072
974	40193	1030
975	40225	989
976	40248	947
977	40274	905
978	40293	864
979	40313	822
980	40368	781
981	40405	740
982	40448	699
983	40478	658
984	40522	617
985	40559	575
986	40598	534
987	40628	493
988	40657	452
989	40686	410
990	40738	369
991	40776	328
992	40806	287
993	40844	246
994	40880	205
995	40909	164
996	40965	123
997	40991	82
998	41030	41
999	41051	0
